x	y	z	zMean
21.65	34.975	0	0
21.65	35.075	0	0
21.65	35.175	0	0
21.65	35.275	0	0
21.65	35.375	0	0
21.65	35.475	0	0
21.65	35.575	0	0
21.65	35.675	0	0
21.65	35.775	0	0
21.65	35.875	0	0
21.65	35.975	0	0
21.65	36.075	0	0
21.65	36.175	0	0
21.65	36.275	0	0
21.65	36.375	0	0
21.65	36.475	0	0
21.65	36.575	0	0
21.65	36.675	0	0
21.65	36.775	0	0
21.65	36.875	0	0
21.65	36.975	0	0
21.65	37.075	0	0
21.65	37.175	0	0
21.65	37.275	0	0
21.65	37.375	0	0
21.65	37.475	0	0
21.65	37.575	0	0
21.65	37.675	0	0
21.65	37.775	0	0
21.65	37.875	0	0
21.65	37.975	0	0
21.65	38.075	0	0
21.65	38.175	0	0
21.65	38.275	0	0
21.65	38.375	0	0
21.65	38.475	0	0
21.65	38.575	0	0
21.65	38.675	0	0
21.65	38.775	0	0
21.65	38.875	0	0
21.65	38.975	0	0
21.65	39.075	0	0
21.65	39.175	0	0
21.65	39.275	0	0
21.65	39.375	0	0
21.65	39.475	0	0
21.65	39.575	0	0
21.65	39.675	0	0
21.65	39.775	0	0
21.65	39.875	0	0
21.65	39.975	0	0
21.75	20.075	0	0
21.75	20.175	0	0
21.75	20.275	0	0
21.75	20.375	0	0
21.75	20.475	0	0
21.75	20.575	0	0
21.75	20.675	0	0
21.75	20.775	0	0
21.75	20.875	0	0
21.75	20.975	0	0
21.75	21.075	0	0
21.75	21.175	0	0
21.75	21.275	0	0
21.75	21.375	0	0
21.75	21.475	0	0
21.75	21.575	0	0
21.75	21.675	0	0
21.75	21.775	0	0
21.75	21.875	0	0
21.75	21.975	0	0
21.75	22.075	0	0
21.75	22.175	0	0
21.75	22.275	0	0
21.75	22.375	0	0
21.75	22.475	0	0
21.75	22.575	0	0
21.75	22.675	0	0
21.75	22.775	0	0
21.75	22.875	0	0
21.75	22.975	0	0
21.75	23.075	0	0
21.75	23.175	0	0
21.75	23.275	0	0
